Position (mm),Force (N),Strain (%),Stress (N/mm�),Time (sec)
4.23,3550,16.92,125.6,254
4.23,3550,16.92,125.7,254
4.23,3550,16.93,125.7,254
4.23,3550,16.93,125.7,254
4.23,3550,16.94,125.7,254
4.24,3550,16.94,125.7,254
4.24,3560,16.94,125.7,254
4.24,3560,16.95,125.7,254
4.24,3560,16.95,125.7,254
4.24,3560,16.96,125.7,255
4.24,3560,16.96,125.7,255
4.24,3560,16.96,125.7,255
4.24,3560,16.97,125.7,255
4.24,3560,16.98,125.8,255
4.24,3560,16.98,125.8,255
4.24,3560,16.98,125.7,255
4.25,3560,16.98,125.7,255
4.25,3560,16.99,125.8,255
4.25,3560,17,125.8,255
4.25,3560,17,125.9,255
4.25,3560,17,125.9,255
4.25,3560,17.01,125.9,255
4.25,3560,17.01,125.9,255
4.25,3560,17.02,125.9,255
4.26,3560,17.02,125.9,255
4.26,3560,17.02,125.9,256
4.26,3560,17.03,125.9,256
4.26,3560,17.03,125.9,256
4.26,3560,17.04,125.9,256
4.26,3560,17.04,125.9,256
4.26,3560,17.04,126,256
4.26,3560,17.05,126,256
4.26,3560,17.05,126,256
4.26,3560,17.06,126,256
4.26,3560,17.06,126,256
4.27,3560,17.06,126,256
4.27,3560,17.07,126,256
4.27,3560,17.07,126.1,256
4.27,3560,17.08,126.1,256
4.27,3560,17.08,126.1,256
4.27,3560,17.08,126.1,256
4.27,3560,17.09,126.1,257
4.27,3560,17.1,126.1,257
4.28,3570,17.1,126.1,257
4.28,3570,17.1,126.1,257
4.28,3570,17.11,126.1,257
4.28,3570,17.11,126.1,257
4.28,3570,17.12,126.1,257
4.28,3570,17.12,126.1,257
4.28,3570,17.12,126.2,257
4.28,3570,17.13,126.2,257
4.28,3570,17.13,126.2,257
4.28,3570,17.14,126.2,257
4.28,3570,17.14,126.2,257
4.29,3570,17.14,126.2,257
4.29,3570,17.15,126.3,257
4.29,3570,17.15,126.3,257
4.29,3570,17.16,126.3,258
4.29,3570,17.16,126.3,258
4.29,3570,17.16,126.3,258
4.29,3570,17.17,126.3,258
4.29,3570,17.17,126.3,258
4.29,3570,17.18,126.4,258
4.3,3570,17.18,126.4,258
4.3,3570,17.18,126.4,258
4.3,3570,17.19,126.3,258
4.3,3570,17.2,126.3,258
4.3,3570,17.2,126.4,258
4.3,3580,17.2,126.4,258
4.3,3580,17.21,126.4,258
4.3,3580,17.21,126.4,258
4.3,3570,17.22,126.4,258
4.3,3580,17.22,126.4,258
4.31,3580,17.22,126.4,259
4.31,3580,17.23,126.5,259
4.31,3580,17.23,126.5,259
4.31,3580,17.24,126.5,259
4.31,3580,17.24,126.5,259
4.31,3580,17.24,126.5,259
4.31,3580,17.25,126.6,259
4.31,3580,17.25,126.6,259
4.31,3580,17.26,126.6,259
4.32,3580,17.26,126.6,259
4.32,3580,17.26,126.6,259
4.32,3580,17.27,126.6,259
4.32,3580,17.28,126.6,259
4.32,3580,17.28,126.6,259
4.32,3580,17.28,126.7,259
4.32,3580,17.28,126.6,259
4.32,3580,17.29,126.6,260
4.32,3580,17.3,126.6,260
4.32,3580,17.3,126.7,260
4.33,3580,17.3,126.7,260
4.33,3580,17.31,126.7,260
4.33,3580,17.31,126.7,260
4.33,3580,17.32,126.7,260
4.33,3580,17.32,126.7,260
4.33,3580,17.32,126.7,260
4.33,3580,17.33,126.7,260
4.33,3580,17.33,126.7,260
4.33,3580,17.34,126.7,260
4.34,3580,17.34,126.7,260
4.34,3580,17.34,126.7,260
4.34,3580,17.35,126.7,260
4.34,3580,17.35,126.8,260
4.34,3580,17.36,126.8,261
4.34,3580,17.36,126.8,261
4.34,3580,17.36,126.8,261
4.34,3580,17.37,126.8,261
4.34,3590,17.37,126.9,261
4.34,3590,17.38,126.9,261
4.35,3590,17.38,126.9,261
4.35,3590,17.39,126.9,261
4.35,3590,17.39,126.9,261
4.35,3590,17.4,126.9,261
4.35,3590,17.4,126.9,261
4.35,3590,17.4,127,261
4.35,3590,17.41,127,261
4.35,3590,17.41,127,261
4.35,3590,17.42,127,261
4.36,3590,17.42,127,261
4.36,3590,17.42,127,262
4.36,3590,17.43,127,262
4.36,3590,17.43,127,262
4.36,3590,17.44,127,262
4.36,3590,17.44,127,262
4.36,3590,17.44,127,262
4.36,3590,17.45,127,262
4.36,3590,17.45,127.1,262
4.36,3600,17.46,127.1,262
4.36,3590,17.46,127.1,262
4.37,3590,17.46,127.1,262
4.37,3590,17.47,127.1,262
4.37,3590,17.47,127.1,262
4.37,3600,17.48,127.1,262
4.37,3600,17.48,127.2,262
4.37,3600,17.49,127.2,262
4.37,3600,17.49,127.2,263
4.37,3600,17.5,127.1,263
4.38,3600,17.5,127.1,263
4.38,3600,17.5,127.2,263
4.38,3600,17.51,127.3,263
4.38,3600,17.51,127.3,263
4.38,3600,17.52,127.3,263
4.38,3600,17.52,127.2,263
4.38,3600,17.52,127.3,263
4.38,3600,17.53,127.3,263
4.38,3600,17.53,127.3,263
4.38,3600,17.54,127.3,263
4.38,3600,17.54,127.3,263
4.39,3600,17.54,127.3,263
4.39,3600,17.55,127.3,263
4.39,3600,17.55,127.3,263
4.39,3600,17.56,127.3,264
4.39,3600,17.56,127.4,264
4.39,3600,17.56,127.4,264
4.39,3600,17.57,127.4,264
4.39,3600,17.57,127.4,264
4.4,3600,17.58,127.4,264
4.4,3600,17.58,127.4,264
4.4,3600,17.59,127.5,264
4.4,3600,17.59,127.4,264
4.4,3600,17.59,127.4,264
4.4,3600,17.6,127.4,264
4.4,3600,17.6,127.5,264
4.4,3600,17.61,127.5,264
4.4,3610,17.61,127.6,264
4.4,3600,17.62,127.5,264
4.4,3600,17.62,127.5,264
4.41,3600,17.62,127.5,265
4.41,3610,17.63,127.6,265
4.41,3610,17.63,127.6,265
4.41,3610,17.64,127.6,265
4.41,3610,17.64,127.6,265
4.41,3610,17.64,127.6,265
4.41,3610,17.65,127.6,265
4.41,3610,17.65,127.6,265
4.41,3610,17.66,127.6,265
4.42,3610,17.66,127.7,265
4.42,3610,17.66,127.7,265
4.42,3610,17.67,127.7,265
4.42,3610,17.67,127.7,265
4.42,3610,17.68,127.7,265
4.42,3610,17.68,127.7,265
4.42,3610,17.69,127.7,265
4.42,3610,17.69,127.7,266
4.42,3610,17.7,127.7,266
4.42,3610,17.7,127.7,266
4.43,3610,17.7,127.7,266
4.43,3610,17.71,127.8,266
4.43,3610,17.71,127.8,266
4.43,3610,17.72,127.8,266
4.43,3610,17.72,127.7,266
4.43,3610,17.72,127.7,266
4.43,3610,17.73,127.8,266
4.43,3620,17.73,127.9,266
4.43,3620,17.74,127.9,266
4.44,3620,17.74,127.9,266
4.44,3620,17.74,127.9,266
4.44,3620,17.75,127.9,266
4.44,3620,17.75,127.9,266
4.44,3620,17.76,127.9,267
4.44,3620,17.76,128,267
4.44,3620,17.76,128,267
4.44,3620,17.77,127.9,267
4.44,3620,17.77,127.9,267
4.44,3620,17.78,127.9,267
4.45,3620,17.78,128,267
4.45,3620,17.79,128,267
4.45,3620,17.79,128,267
4.45,3620,17.8,128,267
4.45,3620,17.8,128,267
4.45,3620,17.8,128,267
4.45,3620,17.81,128,267
4.45,3620,17.81,128.1,267
4.45,3620,17.82,128.1,267
4.46,3620,17.82,128.1,267
4.46,3620,17.82,128.1,268
4.46,3620,17.83,128.1,268
4.46,3620,17.83,128.1,268
4.46,3620,17.84,128.1,268
4.46,3620,17.84,128.1,268
4.46,3620,17.84,128.1,268
4.46,3620,17.85,128.1,268
4.46,3620,17.85,128.1,268
4.46,3620,17.86,128.1,268
4.46,3620,17.86,128.2,268
4.47,3630,17.86,128.3,268
4.47,3620,17.87,128.2,268
4.47,3620,17.87,128.2,268
4.47,3620,17.88,128.2,268
4.47,3630,17.88,128.3,268
4.47,3630,17.89,128.3,268
4.47,3630,17.89,128.3,269
4.47,3630,17.9,128.3,269
4.48,3630,17.9,128.3,269
4.48,3630,17.9,128.3,269
4.48,3630,17.91,128.3,269
4.48,3630,17.91,128.3,269
4.48,3630,17.92,128.4,269
4.48,3630,17.92,128.4,269
4.48,3630,17.92,128.3,269
4.48,3630,17.93,128.3,269
4.48,3630,17.93,128.4,269
4.48,3630,17.94,128.4,269
4.48,3630,17.94,128.4,269
4.49,3630,17.94,128.4,269
4.49,3630,17.95,128.4,269
4.49,3630,17.95,128.4,269
4.49,3630,17.96,128.4,270
4.49,3630,17.96,128.4,270
4.49,3630,17.96,128.5,270
4.49,3630,17.97,128.5,270
4.49,3630,17.97,128.5,270
4.49,3630,17.98,128.5,270
4.5,3630,17.98,128.5,270
4.5,3630,17.99,128.5,270
4.5,3640,17.99,128.6,270
4.5,3640,18,128.6,270
4.5,3640,18,128.6,270
4.5,3640,18,128.6,270
4.5,3640,18.01,128.6,270
4.5,3640,18.01,128.6,270
4.5,3640,18.02,128.6,270
4.5,3640,18.02,128.6,270
4.51,3640,18.02,128.6,271
4.51,3640,18.03,128.6,271
4.51,3640,18.03,128.6,271
4.51,3640,18.04,128.7,271
4.51,3640,18.04,128.7,271
4.51,3640,18.04,128.7,271
4.51,3640,18.05,128.7,271
4.51,3640,18.05,128.7,271
4.51,3640,18.06,128.7,271
4.52,3640,18.06,128.7,271
4.52,3640,18.06,128.7,271
4.52,3640,18.07,128.8,271
4.52,3640,18.07,128.7,271
4.52,3640,18.08,128.7,271
4.52,3640,18.08,128.7,271
4.52,3640,18.09,128.7,271
4.52,3640,18.09,128.8,272
4.52,3640,18.1,128.9,272
4.52,3640,18.1,128.9,272
4.53,3640,18.1,128.8,272
4.53,3640,18.11,128.8,272
4.53,3640,18.11,128.9,272
4.53,3640,18.12,128.9,272
4.53,3640,18.12,128.9,272
4.53,3640,18.12,128.9,272
4.53,3640,18.13,128.9,272
4.53,3640,18.13,128.9,272
4.53,3640,18.14,128.9,272
4.54,3650,18.14,129,272
4.54,3650,18.14,129,272
4.54,3650,18.15,129,272
4.54,3650,18.15,129,272
4.54,3650,18.16,129,273
4.54,3650,18.16,129,273
4.54,3650,18.16,129,273
4.54,3650,18.17,129,273
4.54,3650,18.17,129,273
4.54,3650,18.18,129,273
4.54,3650,18.18,129,273
4.55,3650,18.19,129,273
4.55,3650,18.19,129.1,273
4.55,3650,18.2,129.2,273
4.55,3650,18.2,129.1,273
4.55,3650,18.2,129.1,273
4.55,3650,18.21,129.1,273
4.55,3650,18.21,129.1,273
4.55,3650,18.22,129.2,273
4.56,3650,18.22,129.2,273
4.56,3650,18.22,129.2,274
4.56,3650,18.23,129.2,274
4.56,3650,18.23,129.2,274
4.56,3650,18.24,129.2,274
4.56,3650,18.24,129.2,274
4.56,3660,18.24,129.3,274
4.56,3660,18.25,129.3,274
4.56,3660,18.25,129.3,274
4.56,3650,18.26,129.2,274
4.56,3660,18.26,129.3,274
4.57,3660,18.26,129.3,274
4.57,3660,18.27,129.4,274
4.57,3660,18.27,129.4,274
4.57,3660,18.28,129.3,274
4.57,3660,18.28,129.3,274
4.57,3660,18.28,129.3,274
4.57,3660,18.29,129.3,275
4.57,3660,18.3,129.4,275
4.58,3660,18.3,129.4,275
4.58,3660,18.3,129.4,275
4.58,3660,18.31,129.4,275
4.58,3660,18.31,129.4,275
4.58,3660,18.32,129.4,275
4.58,3660,18.32,129.4,275
4.58,3660,18.32,129.4,275
4.58,3660,18.33,129.4,275
4.58,3660,18.33,129.4,275
4.58,3660,18.34,129.4,275
4.58,3660,18.34,129.5,275
4.59,3660,18.34,129.5,275
4.59,3660,18.35,129.6,275
4.59,3660,18.35,129.5,275
4.59,3660,18.36,129.5,276
4.59,3660,18.36,129.5,276
4.59,3660,18.36,129.6,276
4.59,3660,18.37,129.6,276
4.59,3660,18.37,129.6,276
4.59,3660,18.38,129.6,276
4.6,3660,18.38,129.6,276
4.6,3660,18.38,129.6,276
4.6,3660,18.39,129.6,276
4.6,3660,18.4,129.6,276
4.6,3670,18.4,129.7,276
4.6,3670,18.4,129.7,276
4.6,3660,18.41,129.6,276
4.6,3660,18.41,129.6,276
4.6,3670,18.42,129.7,276
4.6,3670,18.42,129.7,276
4.61,3670,18.42,129.7,277
4.61,3670,18.43,129.7,277
4.61,3670,18.43,129.7,277
4.61,3670,18.44,129.7,277
4.61,3670,18.44,129.7,277
4.61,3670,18.44,129.8,277
4.61,3670,18.45,129.8,277
4.61,3670,18.45,129.8,277
4.61,3670,18.46,129.8,277
4.62,3670,18.46,129.8,277
4.62,3670,18.46,129.8,277
4.62,3670,18.47,129.9,277
4.62,3670,18.48,129.9,277
4.62,3670,18.48,129.9,277
4.62,3670,18.48,129.9,277
4.62,3670,18.48,129.9,277
4.62,3670,18.49,129.9,278
4.62,3670,18.5,129.9,278
4.62,3680,18.5,130,278
4.63,3670,18.5,129.9,278
4.63,3670,18.51,129.9,278
4.63,3670,18.51,129.9,278
4.63,3670,18.52,129.9,278
4.63,3680,18.52,130,278
4.63,3680,18.52,130,278
4.63,3680,18.53,130,278
4.63,3680,18.53,130,278
4.63,3680,18.54,130,278
4.64,3680,18.54,130,278
4.64,3680,18.54,130,278
4.64,3680,18.55,130.1,278
4.64,3680,18.55,130.1,278
4.64,3680,18.56,130.1,279
4.64,3680,18.56,130,279
4.64,3680,18.56,130.1,279
4.64,3680,18.57,130.1,279
4.64,3680,18.58,130.2,279
4.64,3680,18.58,130.2,279
4.64,3680,18.58,130.2,279
4.65,3680,18.58,130.1,279
4.65,3680,18.59,130.1,279
4.65,3680,18.6,130.2,279
4.65,3680,18.6,130.2,279
4.65,3680,18.6,130.2,279
4.65,3680,18.61,130.2,279
4.65,3680,18.61,130.2,279
4.65,3680,18.62,130.2,279
4.66,3680,18.62,130.2,279
4.66,3680,18.62,130.3,280
4.66,3680,18.63,130.3,280
4.66,3680,18.63,130.3,280
4.66,3680,18.64,130.3,280
4.66,3680,18.64,130.3,280
4.66,3680,18.64,130.3,280
4.66,3680,18.65,130.3,280
4.66,3680,18.65,130.3,280
4.66,3680,18.66,130.3,280
4.66,3680,18.66,130.3,280
4.67,3680,18.66,130.3,280
4.67,3680,18.67,130.3,280
4.67,3690,18.67,130.4,280
4.67,3690,18.68,130.4,280
4.67,3690,18.68,130.4,280
4.67,3690,18.68,130.4,280
4.67,3690,18.69,130.4,281
4.67,3690,18.7,130.4,281
4.68,3690,18.7,130.4,281
4.68,3690,18.7,130.5,281
4.68,3690,18.71,130.4,281
4.68,3690,18.71,130.4,281
4.68,3690,18.72,130.4,281
4.68,3690,18.72,130.4,281
4.68,3690,18.72,130.5,281
4.68,3690,18.73,130.5,281
4.68,3690,18.73,130.5,281
4.68,3690,18.74,130.5,281
4.68,3690,18.74,130.5,281
4.69,3690,18.74,130.5,281
4.69,3690,18.75,130.6,281
4.69,3690,18.75,130.6,281
4.69,3690,18.76,130.6,282
4.69,3690,18.76,130.6,282
4.69,3690,18.76,130.6,282
4.69,3690,18.77,130.6,282
4.69,3690,18.77,130.6,282
4.7,3700,18.78,130.7,282
4.7,3700,18.78,130.7,282
4.7,3700,18.78,130.7,282
4.7,3690,18.79,130.6,282
4.7,3700,18.8,130.7,282
4.7,3700,18.8,130.7,282
4.7,3700,18.8,130.7,282
4.7,3700,18.81,130.7,282
4.7,3700,18.81,130.7,282
4.7,3700,18.82,130.7,282
4.7,3700,18.82,130.7,282
4.71,3700,18.82,130.7,283
4.71,3700,18.83,130.8,283
4.71,3700,18.83,130.8,283
4.71,3700,18.84,130.8,283
4.71,3700,18.84,130.8,283
4.71,3700,18.84,130.8,283
4.71,3700,18.85,130.9,283
4.71,3700,18.85,130.9,283
4.71,3700,18.86,130.9,283
4.72,3700,18.86,130.9,283
4.72,3700,18.86,130.9,283
4.72,3700,18.87,130.9,283
4.72,3700,18.88,130.9,283
4.72,3700,18.88,130.9,283
4.72,3700,18.88,131,283
4.72,3700,18.88,130.9,283
4.72,3700,18.89,130.9,284
4.72,3700,18.9,130.9,284
4.72,3700,18.9,131,284
4.73,3700,18.9,131,284
4.73,3700,18.91,131,284
4.73,3700,18.91,131,284
4.73,3700,18.92,131,284
4.73,3700,18.92,131,284
4.73,3700,18.92,131,284
4.73,3700,18.93,131,284
4.73,3710,18.93,131.1,284
4.73,3710,18.94,131.1,284
4.74,3700,18.94,131,284
4.74,3700,18.94,131,284
4.74,3710,18.95,131.1,284
4.74,3710,18.95,131.1,284
4.74,3710,18.96,131.2,285
4.74,3710,18.96,131.2,285
4.74,3710,18.96,131.2,285
4.74,3710,18.97,131.2,285
4.74,3710,18.97,131.2,285
4.74,3710,18.98,131.2,285
4.75,3710,18.98,131.3,285
4.75,3710,18.99,131.3,285
4.75,3710,18.99,131.2,285
4.75,3710,19,131.2,285
4.75,3710,19,131.2,285
4.75,3710,19,131.3,285
4.75,3710,19.01,131.3,285
4.75,3710,19.01,131.3,285
4.75,3710,19.02,131.3,285
4.76,3710,19.02,131.3,285
4.76,3710,19.02,131.3,286
4.76,3710,19.03,131.3,286
4.76,3710,19.03,131.3,286
4.76,3710,19.04,131.3,286
4.76,3720,19.04,131.4,286
4.76,3720,19.04,131.4,286
4.76,3720,19.05,131.4,286
4.76,3720,19.05,131.4,286
4.76,3720,19.06,131.5,286
4.76,3720,19.06,131.5,286
4.77,3720,19.06,131.5,286
4.77,3720,19.07,131.5,286
4.77,3720,19.07,131.5,286
4.77,3720,19.08,131.5,286
4.77,3720,19.08,131.5,286
4.77,3720,19.09,131.5,286
4.77,3720,19.09,131.5,287
4.77,3720,19.09,131.5,287
4.78,3720,19.1,131.5,287
4.78,3720,19.1,131.5,287
4.78,3720,19.11,131.6,287
4.78,3720,19.11,131.6,287
4.78,3720,19.12,131.6,287
4.78,3720,19.12,131.6,287
4.78,3720,19.12,131.6,287
4.78,3720,19.13,131.6,287
4.78,3720,19.13,131.6,287
4.78,3720,19.14,131.6,287
4.78,3720,19.14,131.6,287
4.79,3720,19.14,131.6,287
4.79,3720,19.15,131.6,287
4.79,3720,19.15,131.6,287
4.79,3720,19.16,131.7,288
4.79,3720,19.16,131.7,288
4.79,3720,19.16,131.7,288
4.79,3720,19.17,131.7,288
4.79,3720,19.17,131.7,288
4.79,3720,19.18,131.7,288
4.8,3720,19.18,131.7,288
4.8,3730,19.19,131.8,288
4.8,3720,19.19,131.7,288
4.8,3720,19.19,131.7,288
4.8,3720,19.2,131.7,288
4.8,3720,19.2,131.7,288
4.8,3730,19.21,131.8,288
4.8,3730,19.21,131.9,288
4.8,3730,19.22,131.9,288
4.8,3730,19.22,131.8,288
4.81,3730,19.22,131.8,289
4.81,3730,19.23,131.8,289
4.81,3730,19.23,131.9,289
4.81,3730,19.24,131.9,289
4.81,3730,19.24,131.9,289
4.81,3730,19.24,131.9,289
4.81,3730,19.25,131.9,289
4.81,3730,19.25,131.9,289
4.81,3730,19.26,131.9,289
4.82,3730,19.26,131.9,289
4.82,3730,19.26,131.9,289
4.82,3730,19.27,131.9,289
4.82,3730,19.27,131.9,289
4.82,3730,19.28,131.9,289
4.82,3730,19.28,132,289
4.82,3730,19.29,132,289
4.82,3730,19.29,132,290
4.82,3730,19.3,132,290
4.82,3730,19.3,132,290
4.83,3730,19.3,132,290
4.83,3730,19.31,132,290
4.83,3740,19.31,132.1,290
4.83,3740,19.32,132.1,290
4.83,3740,19.32,132.1,290
4.83,3730,19.32,132,290
4.83,3740,19.33,132.1,290
4.83,3740,19.33,132.1,290
4.83,3740,19.34,132.2,290
4.84,3740,19.34,132.2,290
4.84,3740,19.34,132.2,290
4.84,3740,19.35,132.1,290
4.84,3740,19.35,132.1,290
4.84,3740,19.36,132.2,291
4.84,3740,19.36,132.2,291
4.84,3740,19.36,132.2,291
4.84,3740,19.37,132.2,291
4.84,3740,19.37,132.2,291
4.84,3740,19.38,132.2,291
4.85,3740,19.38,132.2,291
4.85,3740,19.39,132.3,291
4.85,3740,19.39,132.3,291
4.85,3740,19.4,132.3,291
4.85,3740,19.4,132.3,291
4.85,3740,19.4,132.2,291
4.85,3740,19.41,132.3,291
4.85,3740,19.41,132.3,291
4.85,3740,19.42,132.3,291
4.86,3740,19.42,132.3,291
4.86,3740,19.42,132.3,292
4.86,3740,19.43,132.3,292
4.86,3740,19.43,132.3,292
4.86,3740,19.44,132.3,292
4.86,3740,19.44,132.4,292
4.86,3740,19.44,132.4,292
4.86,3740,19.45,132.4,292
4.86,3740,19.45,132.4,292
4.86,3740,19.46,132.4,292
4.86,3740,19.46,132.5,292
4.87,3740,19.46,132.5,292
4.87,3740,19.47,132.5,292
4.87,3740,19.47,132.5,292
4.87,3740,19.48,132.4,292
4.87,3740,19.48,132.5,292
4.87,3750,19.49,132.5,292
4.87,3750,19.49,132.5,293
4.87,3750,19.5,132.5,293
4.88,3740,19.5,132.5,293
4.88,3750,19.5,132.5,293
4.88,3750,19.51,132.5,293
4.88,3750,19.51,132.6,293
4.88,3750,19.52,132.6,293
4.88,3750,19.52,132.6,293
4.88,3750,19.52,132.6,293
4.88,3750,19.53,132.6,293
4.88,3750,19.53,132.6,293
4.88,3750,19.54,132.6,293
4.88,3750,19.54,132.6,293
4.89,3750,19.54,132.7,293
4.89,3750,19.55,132.6,293
4.89,3750,19.55,132.6,293
4.89,3750,19.56,132.6,294
4.89,3750,19.56,132.7,294
4.89,3750,19.56,132.7,294
4.89,3750,19.57,132.7,294
4.89,3750,19.57,132.7,294
4.89,3750,19.58,132.7,294
4.9,3750,19.58,132.7,294
4.9,3750,19.58,132.7,294
4.9,3750,19.59,132.7,294
4.9,3760,19.6,132.8,294
4.9,3750,19.6,132.7,294
4.9,3750,19.6,132.7,294
4.9,3750,19.61,132.7,294
4.9,3760,19.61,132.8,294
4.9,3760,19.62,132.8,294
4.9,3760,19.62,132.9,294
4.91,3760,19.62,132.9,295
4.91,3760,19.63,132.8,295
4.91,3760,19.63,132.8,295
4.91,3760,19.64,132.9,295
4.91,3760,19.64,132.9,295
4.91,3760,19.64,132.9,295
4.91,3760,19.65,132.9,295
4.91,3760,19.65,132.9,295
4.91,3760,19.66,132.9,295
4.92,3760,19.66,132.9,295
4.92,3760,19.66,132.9,295
4.92,3760,19.67,133,295
4.92,3760,19.67,133,295
4.92,3760,19.68,132.9,295
4.92,3760,19.68,132.9,295
4.92,3760,19.69,133,295
4.92,3760,19.69,133,296
4.92,3760,19.7,133,296
4.92,3760,19.7,133.1,296
4.93,3760,19.7,133,296
4.93,3760,19.71,133,296
4.93,3760,19.71,133,296
4.93,3760,19.72,133.1,296
4.93,3760,19.72,133.1,296
4.93,3760,19.72,133.1,296
4.93,3760,19.73,133.1,296
4.93,3760,19.73,133.1,296
4.93,3760,19.74,133.1,296
4.94,3760,19.74,133.2,296
4.94,3770,19.74,133.2,296
4.94,3770,19.75,133.2,296
4.94,3760,19.75,133.2,296
4.94,3760,19.76,133.2,297
4.94,3760,19.76,133.2,297
4.94,3770,19.76,133.2,297
4.94,3770,19.77,133.2,297
4.94,3770,19.77,133.2,297
4.94,3770,19.78,133.2,297
4.94,3770,19.78,133.2,297
4.95,3770,19.79,133.2,297
4.95,3770,19.79,133.3,297
4.95,3770,19.8,133.3,297
4.95,3770,19.8,133.3,297
4.95,3770,19.8,133.3,297
4.95,3770,19.81,133.3,297
4.95,3770,19.81,133.3,297
4.95,3770,19.82,133.3,297
4.96,3770,19.82,133.4,297
4.96,3770,19.82,133.4,298
4.96,3770,19.83,133.3,298
4.96,3770,19.83,133.3,298
4.96,3770,19.84,133.3,298
4.96,3770,19.84,133.4,298
4.96,3770,19.84,133.4,298
4.96,3770,19.85,133.4,298
4.96,3770,19.85,133.4,298
4.96,3770,19.86,133.4,298
4.96,3770,19.86,133.4,298
4.97,3770,19.86,133.4,298
4.97,3770,19.87,133.5,298
4.97,3780,19.87,133.5,298
4.97,3780,19.88,133.5,298
4.97,3770,19.88,133.5,298
4.97,3780,19.89,133.5,298
4.97,3780,19.89,133.5,299
4.97,3780,19.9,133.6,299
4.98,3780,19.9,133.6,299
4.98,3780,19.9,133.6,299
4.98,3780,19.91,133.6,299
4.98,3780,19.91,133.6,299
4.98,3780,19.92,133.6,299
4.98,3780,19.92,133.6,299
4.98,3780,19.92,133.6,299
4.98,3780,19.93,133.6,299
4.98,3780,19.93,133.6,299
4.98,3780,19.94,133.6,299
4.98,3780,19.94,133.6,299
4.99,3780,19.94,133.7,299
4.99,3780,19.95,133.7,299
4.99,3780,19.95,133.7,299
4.99,3780,19.96,133.7,300
4.99,3780,19.96,133.7,300
4.99,3780,19.96,133.7,300
4.99,3780,19.97,133.7,300
4.99,3780,19.97,133.7,300
4.99,3780,19.98,133.7,300
5,3780,19.98,133.7,300
5,3780,19.98,133.7,300
5,3780,19.99,133.7,300
5,3780,20,133.8,300
5,3780,20,133.8,300
5,3780,20,133.8,300
5,3780,20,133.8,300
5,3780,20,133.8,300
5,3780,20,133.8,300
5,3780,20,133.9,300
5.01,3780,20,133.9,301
5.01,3780,20,133.9,301
5.01,3780,20,133.9,301
5.01,3780,20,133.9,301
5.01,3780,20,133.9,301
5.01,3790,20,133.9,301
5.01,3790,20,133.9,301
5.01,3790,20.1,133.9,301
5.01,3790,20.1,133.9,301
5.02,3790,20.1,133.9,301
5.02,3790,20.1,133.9,301
5.02,3790,20.1,134,301
5.02,3790,20.1,134,301
5.02,3790,20.1,134,301
5.02,3790,20.1,134,301
5.02,3790,20.1,134,301
5.02,3790,20.1,134,302
5.02,3790,20.1,134,302
5.02,3790,20.1,134,302
5.03,3790,20.1,134,302
5.03,3790,20.1,134,302
5.03,3790,20.1,134,302
5.03,3790,20.1,134,302
5.03,3790,20.1,134,302
5.03,3790,20.1,134.1,302
5.03,3790,20.1,134.1,302
5.03,3790,20.1,134.1,302
5.03,3790,20.1,134.1,302
5.04,3790,20.1,134.1,302
5.04,3790,20.1,134.2,302
5.04,3790,20.1,134.2,302
5.04,3790,20.2,134.2,302
5.04,3790,20.2,134.2,303
5.04,3790,20.2,134.2,303
5.04,3790,20.2,134.2,303
5.04,3800,20.2,134.2,303
5.04,3800,20.2,134.2,303
5.04,3800,20.2,134.2,303
5.05,3800,20.2,134.2,303
5.05,3800,20.2,134.2,303
5.05,3800,20.2,134.2,303
5.05,3800,20.2,134.2,303
5.05,3800,20.2,134.3,303
5.05,3800,20.2,134.3,303
5.05,3800,20.2,134.3,303
5.05,3800,20.2,134.3,303
5.05,3800,20.2,134.3,303
5.06,3800,20.2,134.3,303
5.06,3800,20.2,134.3,304
5.06,3800,20.2,134.3,304
5.06,3800,20.2,134.3,304
5.06,3800,20.2,134.3,304
5.06,3800,20.2,134.3,304
5.06,3800,20.2,134.4,304
5.06,3800,20.2,134.4,304
5.06,3800,20.3,134.5,304
5.06,3800,20.3,134.5,304
5.06,3800,20.3,134.4,304
5.07,3800,20.3,134.4,304
5.07,3800,20.3,134.4,304
5.07,3800,20.3,134.5,304
5.07,3800,20.3,134.5,304
5.07,3800,20.3,134.5,304
5.07,3800,20.3,134.5,304
5.07,3800,20.3,134.5,305
5.07,3800,20.3,134.5,305
5.08,3800,20.3,134.5,305
5.08,3800,20.3,134.6,305
5.08,3800,20.3,134.6,305
5.08,3800,20.3,134.6,305
5.08,3800,20.3,134.6,305
5.08,3800,20.3,134.6,305
5.08,3810,20.3,134.6,305
5.08,3810,20.3,134.6,305
5.08,3810,20.3,134.6,305
5.08,3810,20.3,134.6,305
5.08,3810,20.3,134.6,305
5.09,3810,20.3,134.6,305
5.09,3810,20.3,134.7,305
5.09,3810,20.4,134.7,305
5.09,3810,20.4,134.7,306
5.09,3810,20.4,134.6,306
5.09,3810,20.4,134.6,306
5.09,3810,20.4,134.7,306
5.09,3810,20.4,134.7,306
5.1,3810,20.4,134.8,306
5.1,3810,20.4,134.8,306
5.1,3810,20.4,134.8,306
5.1,3810,20.4,134.7,306
5.1,3810,20.4,134.8,306
