Position (mm),Force (N),Strain (%),Stress (N/mm�),Time (sec)
2.37,6980,9.47,355,142.3
2.37,6980,9.48,355,142.4
2.37,6980,9.48,355,142.4
2.37,6970,9.48,355,142.5
2.37,6970,9.49,355,142.5
2.37,6970,9.5,355,142.6
2.38,6970,9.5,355,142.7
2.38,6980,9.5,355,142.7
2.38,6980,9.51,355,142.8
2.38,6980,9.51,355,142.9
2.38,6980,9.52,355,142.9
2.38,6980,9.52,355,143
2.38,6980,9.52,356,143
2.38,6990,9.53,356,143.1
2.38,6990,9.53,356,143.2
2.38,6990,9.54,356,143.2
2.38,6990,9.54,356,143.3
2.39,7000,9.54,356,143.4
2.39,7000,9.55,356,143.4
2.39,7000,9.55,357,143.5
2.39,7000,9.56,357,143.5
2.39,7000,9.56,357,143.6
2.39,7000,9.56,357,143.7
2.39,7000,9.57,357,143.7
2.39,7010,9.57,357,143.8
2.39,7010,9.58,357,143.9
2.4,7020,9.58,357,143.9
2.4,7020,9.58,357,144
2.4,7020,9.59,357,144
2.4,7020,9.59,357,144.1
2.4,7020,9.6,358,144.2
2.4,7020,9.6,358,144.2
2.4,7030,9.61,358,144.3
2.4,7030,9.61,358,144.4
2.4,7030,9.62,358,144.4
2.4,7030,9.62,358,144.5
2.41,7040,9.62,358,144.5
2.41,7040,9.63,358,144.6
2.41,7040,9.63,359,144.7
2.41,7040,9.64,359,144.7
2.41,7040,9.64,359,144.8
2.41,7040,9.64,359,144.9
2.41,7050,9.65,359,144.9
2.41,7050,9.65,359,145
2.41,7050,9.66,359,145
2.42,7050,9.66,359,145.1
2.42,7060,9.66,359,145.2
2.42,7060,9.67,359,145.2
2.42,7060,9.67,359,145.3
2.42,7060,9.68,360,145.4
2.42,7060,9.68,360,145.4
2.42,7060,9.69,360,145.5
2.42,7060,9.69,360,145.5
2.42,7070,9.7,360,145.6
2.42,7070,9.7,360,145.7
2.43,7070,9.7,360,145.7
2.43,7080,9.71,360,145.8
2.43,7080,9.71,360,145.9
2.43,7080,9.72,360,145.9
2.43,7080,9.72,360,146
2.43,7080,9.72,361,146
2.43,7080,9.73,361,146.1
2.43,7090,9.73,361,146.2
2.43,7090,9.74,361,146.2
2.44,7090,9.74,361,146.3
2.44,7090,9.74,361,146.4
2.44,7090,9.75,361,146.4
2.44,7100,9.75,361,146.5
2.44,7100,9.76,362,146.5
2.44,7100,9.76,362,146.6
2.44,7100,9.76,362,146.7
2.44,7100,9.77,362,146.7
2.44,7100,9.77,362,146.8
2.44,7100,9.78,362,146.9
2.45,7110,9.78,362,146.9
2.45,7110,9.79,362,147
2.45,7110,9.79,362,147
2.45,7110,9.8,362,147.1
2.45,7110,9.8,362,147.2
2.45,7120,9.8,362,147.2
2.45,7120,9.81,362,147.3
2.45,7120,9.81,363,147.4
2.45,7120,9.82,363,147.4
2.46,7120,9.82,363,147.5
2.46,7120,9.82,363,147.5
2.46,7120,9.83,363,147.6
2.46,7130,9.83,363,147.7
2.46,7130,9.84,363,147.7
2.46,7130,9.84,363,147.8
2.46,7130,9.84,363,147.9
2.46,7130,9.85,363,147.9
2.46,7140,9.85,363,148
2.46,7140,9.86,364,148
2.46,7140,9.86,364,148.1
2.47,7140,9.86,364,148.2
2.47,7140,9.87,364,148.2
2.47,7140,9.87,364,148.3
2.47,7150,9.88,364,148.4
2.47,7150,9.88,364,148.4
2.47,7150,9.88,364,148.5
2.47,7150,9.89,364,148.5
2.47,7150,9.89,364,148.6
2.48,7150,9.9,364,148.7
2.48,7160,9.9,364,148.7
2.48,7160,9.91,365,148.8
2.48,7160,9.91,365,148.9
2.48,7160,9.92,365,148.9
2.48,7160,9.92,365,149
2.48,7160,9.92,365,149
2.48,7170,9.93,365,149.1
2.48,7170,9.93,365,149.2
2.48,7170,9.94,365,149.2
2.48,7170,9.94,365,149.3
2.49,7170,9.94,365,149.4
2.49,7180,9.95,365,149.4
2.49,7180,9.95,366,149.5
2.49,7180,9.96,366,149.5
2.49,7180,9.96,366,149.6
2.49,7180,9.96,366,149.7
2.49,7180,9.97,366,149.7
2.49,7180,9.97,366,149.8
2.49,7190,9.98,366,149.9
2.5,7190,9.98,366,149.9
2.5,7190,9.98,366,150
2.5,7190,9.99,366,150
2.5,7190,9.99,366,150.1
2.5,7190,10,366,150.2
2.5,7200,10,367,150.2
2.5,7200,10.01,367,150.3
2.5,7200,10.01,367,150.4
2.5,7200,10.02,367,150.4
2.5,7200,10.02,367,150.5
2.51,7200,10.02,367,150.5
2.51,7210,10.03,367,150.6
2.51,7210,10.03,367,150.7
2.51,7210,10.04,367,150.7
2.51,7210,10.04,367,150.8
2.51,7210,10.04,367,150.9
2.51,7220,10.05,367,150.9
2.51,7220,10.05,367,151
2.51,7220,10.06,368,151
2.52,7220,10.06,368,151.1
2.52,7220,10.06,368,151.2
2.52,7220,10.07,368,151.2
2.52,7220,10.07,368,151.3
2.52,7220,10.08,368,151.4
2.52,7230,10.08,368,151.4
2.52,7230,10.09,368,151.5
2.52,7230,10.09,368,151.5
2.52,7230,10.09,368,151.6
2.52,7230,10.1,368,151.7
2.53,7240,10.1,368,151.7
2.53,7240,10.11,369,151.8
2.53,7240,10.11,369,151.9
2.53,7240,10.12,369,151.9
2.53,7240,10.12,369,152
2.53,7240,10.12,369,152
2.53,7240,10.13,369,152.1
2.53,7250,10.13,369,152.2
2.53,7250,10.14,369,152.2
2.54,7250,10.14,369,152.3
2.54,7250,10.14,369,152.4
2.54,7250,10.15,369,152.4
2.54,7250,10.15,369,152.5
2.54,7260,10.16,369,152.5
2.54,7260,10.16,370,152.6
2.54,7260,10.16,370,152.7
2.54,7260,10.17,370,152.7
2.54,7260,10.17,370,152.8
2.54,7260,10.18,370,152.9
2.54,7260,10.18,370,152.9
2.55,7270,10.19,370,153
2.55,7270,10.19,370,153
2.55,7270,10.2,370,153.1
2.55,7270,10.2,370,153.2
2.55,7270,10.2,370,153.2
2.55,7280,10.21,371,153.3
2.55,7280,10.21,371,153.4
2.55,7280,10.22,371,153.4
2.56,7280,10.22,371,153.5
2.56,7280,10.22,371,153.5
2.56,7280,10.23,371,153.6
2.56,7280,10.23,371,153.7
2.56,7290,10.24,371,153.7
2.56,7290,10.24,371,153.8
2.56,7290,10.24,371,153.9
2.56,7290,10.25,371,153.9
2.56,7290,10.25,371,154
2.56,7290,10.26,371,154
2.56,7300,10.26,372,154.1
2.57,7300,10.26,372,154.2
2.57,7300,10.27,372,154.2
2.57,7300,10.27,372,154.3
2.57,7300,10.28,372,154.4
2.57,7300,10.28,372,154.4
2.57,7310,10.29,372,154.5
2.57,7310,10.29,372,154.5
2.57,7310,10.3,372,154.6
2.57,7310,10.3,372,154.7
2.58,7310,10.3,372,154.7
2.58,7320,10.31,373,154.8
2.58,7320,10.31,373,154.9
2.58,7320,10.32,373,154.9
2.58,7320,10.32,373,155
2.58,7320,10.32,373,155
2.58,7320,10.33,373,155.1
2.58,7320,10.33,373,155.2
2.58,7320,10.34,373,155.2
2.58,7330,10.34,373,155.3
2.59,7330,10.34,373,155.4
2.59,7330,10.35,373,155.4
2.59,7330,10.35,373,155.5
2.59,7330,10.36,373,155.5
2.59,7340,10.36,374,155.6
2.59,7340,10.36,374,155.7
2.59,7340,10.37,374,155.7
2.59,7340,10.37,374,155.8
2.59,7340,10.38,374,155.9
2.6,7340,10.38,374,155.9
2.6,7340,10.39,374,156
2.6,7340,10.39,374,156
2.6,7350,10.4,374,156.1
2.6,7350,10.4,374,156.2
2.6,7350,10.4,374,156.2
2.6,7350,10.41,374,156.3
2.6,7350,10.41,374,156.4
2.6,7350,10.42,375,156.4
2.6,7360,10.42,375,156.5
2.61,7360,10.42,375,156.5
2.61,7360,10.43,375,156.6
2.61,7360,10.43,375,156.7
2.61,7360,10.44,375,156.7
2.61,7360,10.44,375,156.8
2.61,7360,10.44,375,156.9
2.61,7360,10.45,375,156.9
2.61,7360,10.45,375,157
2.61,7360,10.46,375,157
2.62,7370,10.46,375,157.1
2.62,7370,10.46,375,157.2
2.62,7370,10.47,375,157.2
2.62,7370,10.47,376,157.3
2.62,7370,10.48,376,157.4
2.62,7380,10.48,376,157.4
2.62,7380,10.48,376,157.5
2.62,7380,10.49,376,157.5
2.62,7380,10.5,376,157.6
2.62,7380,10.5,376,157.7
2.63,7380,10.5,376,157.7
2.63,7380,10.51,376,157.8
2.63,7390,10.51,376,157.9
2.63,7390,10.52,376,157.9
2.63,7390,10.52,376,158
2.63,7390,10.52,376,158
2.63,7390,10.53,376,158.1
2.63,7390,10.53,377,158.2
2.63,7400,10.54,377,158.2
2.64,7400,10.54,377,158.3
2.64,7400,10.54,377,158.4
2.64,7400,10.55,377,158.4
2.64,7400,10.55,377,158.5
2.64,7400,10.56,377,158.5
2.64,7400,10.56,377,158.6
2.64,7410,10.56,377,158.7
2.64,7410,10.57,377,158.7
2.64,7410,10.57,377,158.8
2.64,7410,10.58,377,158.9
2.64,7410,10.58,377,158.9
2.65,7410,10.58,377,159
2.65,7420,10.59,378,159
2.65,7420,10.6,378,159.1
2.65,7420,10.6,378,159.2
2.65,7420,10.6,378,159.2
2.65,7420,10.61,378,159.3
2.65,7420,10.61,378,159.4
2.65,7420,10.62,378,159.4
2.66,7420,10.62,378,159.5
2.66,7430,10.62,378,159.5
2.66,7420,10.63,378,159.6
2.66,7430,10.63,378,159.7
2.66,7430,10.64,378,159.7
2.66,7430,10.64,378,159.8
2.66,7430,10.64,379,159.9
2.66,7430,10.65,379,159.9
2.66,7430,10.65,379,160
2.66,7430,10.66,379,160
2.66,7440,10.66,379,160.1
2.67,7440,10.66,379,160.2
2.67,7440,10.67,379,160.2
2.67,7440,10.67,379,160.3
2.67,7440,10.68,379,160.4
2.67,7440,10.68,379,160.4
2.67,7440,10.68,379,160.5
2.67,7450,10.69,379,160.5
2.67,7450,10.7,379,160.6
2.68,7450,10.7,380,160.7
2.68,7450,10.7,380,160.7
2.68,7450,10.71,380,160.8
2.68,7460,10.71,380,160.9
2.68,7460,10.72,380,160.9
2.68,7460,10.72,380,161
2.68,7460,10.72,380,161
2.68,7460,10.73,380,161.1
2.68,7460,10.73,380,161.2
2.68,7460,10.74,380,161.2
2.68,7460,10.74,380,161.3
2.69,7470,10.74,380,161.4
2.69,7470,10.75,380,161.4
2.69,7470,10.75,380,161.5
2.69,7470,10.76,380,161.5
2.69,7470,10.76,380,161.6
2.69,7470,10.76,381,161.7
2.69,7480,10.77,381,161.7
2.69,7480,10.77,381,161.8
2.69,7480,10.78,381,161.9
2.7,7480,10.78,381,161.9
2.7,7480,10.79,381,162
2.7,7480,10.79,381,162
2.7,7480,10.8,381,162.1
2.7,7480,10.8,381,162.2
2.7,7480,10.8,381,162.2
2.7,7480,10.81,381,162.3
2.7,7490,10.81,381,162.4
2.7,7490,10.82,381,162.4
2.7,7490,10.82,382,162.5
2.71,7490,10.82,382,162.5
2.71,7490,10.83,382,162.6
2.71,7490,10.83,382,162.7
2.71,7500,10.84,382,162.7
2.71,7500,10.84,382,162.8
2.71,7500,10.84,382,162.9
2.71,7500,10.85,382,162.9
2.71,7500,10.85,382,163
2.71,7500,10.86,382,163
2.72,7500,10.86,382,163.1
2.72,7500,10.86,382,163.2
2.72,7510,10.87,382,163.2
2.72,7510,10.87,382,163.3
2.72,7510,10.88,382,163.4
2.72,7510,10.88,382,163.4
2.72,7510,10.88,382,163.5
2.72,7510,10.89,383,163.5
2.72,7520,10.9,383,163.6
2.72,7520,10.9,383,163.7
2.73,7520,10.9,383,163.7
2.73,7520,10.91,383,163.8
2.73,7520,10.91,383,163.9
2.73,7520,10.92,383,163.9
2.73,7520,10.92,383,164
2.73,7530,10.92,383,164
2.73,7530,10.93,383,164.1
2.73,7530,10.93,383,164.2
2.73,7530,10.94,383,164.2
2.74,7530,10.94,382,164.3
2.74,7530,10.94,384,164.4
2.74,7540,10.95,384,164.4
2.74,7540,10.95,384,164.5
2.74,7540,10.96,384,164.5
2.74,7540,10.96,384,164.6
2.74,7540,10.96,384,164.7
2.74,7540,10.97,384,164.7
2.74,7540,10.97,384,164.8
2.74,7540,10.98,384,164.9
2.74,7540,10.98,384,164.9
2.75,7540,10.98,384,165
2.75,7540,10.99,384,165
2.75,7550,11,384,165.1
2.75,7550,11,385,165.2
2.75,7550,11,385,165.2
2.75,7550,11.01,385,165.3
2.75,7550,11.01,385,165.4
2.75,7550,11.02,385,165.4
2.76,7560,11.02,385,165.5
2.76,7560,11.02,385,165.5
2.76,7560,11.03,385,165.6
2.76,7560,11.03,385,165.7
2.76,7560,11.04,385,165.7
2.76,7560,11.04,385,165.8
2.76,7560,11.04,385,165.9
2.76,7570,11.05,385,165.9
2.76,7570,11.05,385,166
2.76,7570,11.06,385,166
2.76,7570,11.06,385,166.1
2.77,7570,11.06,385,166.2
2.77,7570,11.07,386,166.2
2.77,7570,11.07,386,166.3
2.77,7580,11.08,386,166.4
2.77,7580,11.08,386,166.4
2.77,7580,11.08,386,166.5
2.77,7580,11.09,386,166.5
2.77,7580,11.1,386,166.6
2.78,7580,11.1,386,166.7
2.78,7580,11.1,386,166.7
2.78,7580,11.11,386,166.8
2.78,7580,11.11,386,166.9
2.78,7580,11.12,386,166.9
2.78,7590,11.12,386,167
2.78,7590,11.12,387,167
2.78,7590,11.13,387,167.1
2.78,7590,11.13,387,167.2
2.78,7590,11.14,387,167.2
2.78,7590,11.14,387,167.3
2.79,7600,11.14,387,167.4
2.79,7600,11.15,387,167.4
2.79,7600,11.15,387,167.5
2.79,7600,11.16,387,167.5
2.79,7600,11.16,387,167.6
2.79,7600,11.16,387,167.7
2.79,7600,11.17,387,167.7
2.79,7600,11.17,387,167.8
2.79,7610,11.18,387,167.9
2.8,7610,11.18,387,167.9
2.8,7610,11.18,387,168
2.8,7610,11.19,387,168
2.8,7610,11.2,388,168.1
2.8,7610,11.2,388,168.2
2.8,7620,11.2,388,168.2
2.8,7620,11.21,388,168.3
2.8,7620,11.21,388,168.4
2.8,7620,11.22,388,168.4
2.8,7620,11.22,388,168.5
2.81,7620,11.22,388,168.5
2.81,7620,11.23,388,168.6
2.81,7620,11.23,388,168.7
2.81,7620,11.24,388,168.7
2.81,7620,11.24,388,168.8
2.81,7620,11.24,388,168.9
2.81,7630,11.25,389,168.9
2.81,7630,11.25,389,169
2.81,7630,11.26,389,169
2.82,7630,11.26,389,169.1
2.82,7630,11.26,389,169.2
2.82,7630,11.27,389,169.2
2.82,7640,11.27,389,169.3
2.82,7640,11.28,389,169.4
2.82,7640,11.28,389,169.4
2.82,7640,11.28,389,169.5
2.82,7640,11.29,389,169.5
2.82,7640,11.3,389,169.6
2.82,7640,11.3,389,169.7
2.83,7640,11.3,389,169.7
2.83,7650,11.31,389,169.8
2.83,7650,11.31,389,169.9
2.83,7650,11.32,389,169.9
2.83,7650,11.32,390,170
2.83,7650,11.32,390,170
2.83,7650,11.33,390,170.1
2.83,7660,11.33,390,170.2
2.83,7660,11.34,390,170.2
2.84,7660,11.34,390,170.3
2.84,7660,11.34,390,170.4
2.84,7660,11.35,390,170.4
2.84,7660,11.35,390,170.5
2.84,7660,11.36,390,170.5
2.84,7660,11.36,390,170.6
2.84,7660,11.36,390,170.7
2.84,7660,11.37,390,170.7
2.84,7670,11.37,390,170.8
2.84,7670,11.38,391,170.9
2.85,7670,11.38,391,170.9
2.85,7670,11.38,391,171
2.85,7670,11.39,391,171
2.85,7670,11.4,391,171.1
2.85,7670,11.4,391,171.2
2.85,7680,11.4,391,171.2
2.85,7680,11.41,391,171.3
2.85,7680,11.41,391,171.4
2.85,7680,11.42,391,171.4
2.86,7680,11.42,391,171.5
2.86,7680,11.42,391,171.5
2.86,7680,11.43,391,171.6
2.86,7680,11.43,391,171.7
2.86,7680,11.44,391,171.7
2.86,7680,11.44,391,171.8
2.86,7690,11.44,391,171.9
2.86,7690,11.45,392,171.9
2.86,7690,11.45,392,172
2.86,7690,11.46,392,172
2.86,7690,11.46,392,172.1
2.87,7690,11.46,392,172.2
2.87,7690,11.47,392,172.2
2.87,7700,11.47,392,172.3
2.87,7700,11.48,392,172.4
2.87,7700,11.48,392,172.4
2.87,7700,11.49,392,172.5
2.87,7700,11.49,392,172.5
2.87,7700,11.5,392,172.6
2.88,7700,11.5,392,172.7
2.88,7700,11.5,392,172.7
2.88,7710,11.51,393,172.8
2.88,7710,11.51,393,172.9
2.88,7710,11.52,393,172.9
2.88,7710,11.52,393,173
2.88,7710,11.52,393,173
2.88,7710,11.53,393,173.1
2.88,7720,11.53,393,173.2
2.88,7720,11.54,393,173.2
2.88,7720,11.54,393,173.3
2.89,7720,11.54,393,173.4
2.89,7720,11.55,393,173.4
2.89,7720,11.55,393,173.5
2.89,7720,11.56,393,173.5
2.89,7720,11.56,393,173.6
2.89,7720,11.56,393,173.7
2.89,7720,11.57,393,173.7
2.89,7720,11.57,393,173.8
2.89,7730,11.58,394,173.9
2.9,7730,11.58,394,173.9
2.9,7730,11.58,394,174
2.9,7730,11.59,394,174
2.9,7730,11.59,394,174.1
2.9,7730,11.6,394,174.2
2.9,7740,11.6,394,174.2
2.9,7740,11.61,394,174.3
2.9,7740,11.61,394,174.4
2.9,7740,11.62,394,174.4
2.9,7740,11.62,394,174.5
2.91,7740,11.62,394,174.5
2.91,7740,11.63,394,174.6
2.91,7750,11.63,395,174.7
2.91,7750,11.64,395,174.7
2.91,7750,11.64,395,174.8
2.91,7750,11.64,395,174.9
2.91,7750,11.65,395,174.9
2.91,7750,11.65,395,175
2.91,7750,11.66,395,175
2.92,7760,11.66,395,175.1
2.92,7760,11.66,395,175.2
2.92,7760,11.67,395,175.2
2.92,7760,11.67,395,175.3
2.92,7760,11.68,395,175.4
2.92,7760,11.68,395,175.4
2.92,7760,11.69,395,175.5
2.92,7760,11.69,395,175.5
2.92,7760,11.69,395,175.6
2.92,7760,11.7,395,175.7
2.93,7760,11.7,395,175.7
2.93,7770,11.71,396,175.8
2.93,7770,11.71,396,175.9
2.93,7770,11.72,396,175.9
2.93,7770,11.72,396,176
2.93,7770,11.72,396,176
2.93,7770,11.73,396,176.1
2.93,7780,11.73,396,176.2
2.93,7780,11.74,396,176.2
2.94,7780,11.74,396,176.3
2.94,7780,11.74,396,176.4
2.94,7780,11.75,396,176.4
2.94,7780,11.75,396,176.5
2.94,7780,11.76,396,176.5
2.94,7780,11.76,396,176.6
2.94,7790,11.76,397,176.7
2.94,7790,11.77,397,176.7
2.94,7790,11.77,397,176.8
2.94,7790,11.78,397,176.9
2.94,7790,11.78,397,176.9
2.95,7790,11.79,397,177
2.95,7790,11.79,397,177
2.95,7790,11.79,397,177.1
2.95,7790,11.8,397,177.2
2.95,7790,11.8,397,177.2
2.95,7800,11.81,397,177.3
2.95,7800,11.81,397,177.4
2.95,7800,11.82,397,177.4
2.96,7800,11.82,397,177.5
2.96,7800,11.82,397,177.5
2.96,7800,11.83,397,177.6
2.96,7800,11.83,397,177.7
2.96,7800,11.84,398,177.7
2.96,7810,11.84,398,177.8
2.96,7810,11.84,398,177.9
2.96,7810,11.85,398,177.9
2.96,7810,11.85,398,178
2.96,7810,11.86,398,178
2.96,7810,11.86,398,178.1
2.97,7820,11.86,398,178.2
2.97,7820,11.87,398,178.2
2.97,7820,11.87,398,178.3
2.97,7820,11.88,398,178.4
2.97,7820,11.88,398,178.4
2.97,7820,11.89,398,178.5
2.97,7820,11.89,398,178.5
2.97,7820,11.9,399,178.6
2.98,7820,11.9,398,178.7
2.98,7820,11.9,399,178.7
2.98,7820,11.91,399,178.8
2.98,7830,11.91,399,178.9
2.98,7830,11.92,399,178.9
2.98,7830,11.92,399,179
2.98,7830,11.92,399,179
2.98,7830,11.93,399,179.1
2.98,7830,11.93,399,179.2
2.98,7840,11.94,399,179.2
2.98,7840,11.94,399,179.3
2.99,7840,11.94,399,179.4
2.99,7840,11.95,399,179.4
2.99,7840,11.95,399,179.5
2.99,7840,11.96,399,179.5
2.99,7840,11.96,399,179.6
2.99,7840,11.96,400,179.7
2.99,7840,11.97,400,179.7
2.99,7840,11.97,400,179.8
2.99,7840,11.98,400,179.9
3,7850,11.98,400,179.9
3,7850,11.98,400,180
3,7850,11.99,400,180
3,7850,12,400,180.1
3,7850,12,400,180.2
3,7850,12,400,180.2
3,7860,12.01,400,180.3
3,7860,12.01,400,180.4
3,7860,12.02,400,180.4
3,7860,12.02,400,180.5
3.01,7860,12.02,400,180.5
3.01,7860,12.03,400,180.6
3.01,7860,12.03,400,180.7
3.01,7860,12.04,401,180.7
3.01,7870,12.04,401,180.8
3.01,7870,12.04,401,180.9
3.01,7870,12.05,401,180.9
3.01,7870,12.05,401,181
3.01,7870,12.06,401,181
3.02,7870,12.06,401,181.1
3.02,7870,12.06,401,181.2
3.02,7880,12.07,401,181.2
3.02,7880,12.07,401,181.3
3.02,7880,12.08,401,181.4
3.02,7880,12.08,401,181.4
3.02,7880,12.09,401,181.5
3.02,7880,12.09,401,181.5
3.02,7880,12.1,401,181.6
3.02,7880,12.1,401,181.7
3.03,7880,12.1,401,181.7
3.03,7880,12.11,401,181.8
3.03,7880,12.11,402,181.9
3.03,7890,12.12,402,181.9
3.03,7890,12.12,402,182
3.03,7890,12.12,402,182
3.03,7890,12.13,402,182.1
3.03,7890,12.13,402,182.2
3.03,7890,12.14,402,182.2
3.04,7900,12.14,402,182.3
3.04,7900,12.14,402,182.4
3.04,7900,12.15,402,182.4
3.04,7900,12.15,402,182.5
3.04,7900,12.16,402,182.5
3.04,7900,12.16,402,182.6
3.04,7900,12.16,402,182.7
3.04,7900,12.17,403,182.7
3.04,7900,12.17,403,182.8
3.04,7900,12.18,403,182.9
3.04,7900,12.18,403,182.9
3.05,7900,12.19,403,183
3.05,7910,12.19,403,183
3.05,7910,12.2,403,183.1
3.05,7910,12.2,403,183.2
3.05,7910,12.2,403,183.2
3.05,7910,12.21,403,183.3
3.05,7910,12.21,403,183.4
3.05,7920,12.22,403,183.4
3.06,7920,12.22,403,183.5
3.06,7920,12.22,403,183.5
3.06,7920,12.23,403,183.6
3.06,7920,12.23,403,183.7
3.06,7920,12.24,403,183.7
3.06,7920,12.24,403,183.8
3.06,7920,12.24,404,183.9
3.06,7920,12.25,404,183.9
3.06,7930,12.25,404,184
3.06,7920,12.26,404,184
3.06,7930,12.26,404,184.1
3.07,7930,12.26,404,184.2
3.07,7930,12.27,404,184.2
3.07,7930,12.27,404,184.3
3.07,7930,12.28,404,184.4
3.07,7930,12.28,404,184.4
3.07,7930,12.29,404,184.5
3.07,7940,12.29,404,184.5
3.07,7940,12.3,404,184.6
3.08,7940,12.3,404,184.7
3.08,7940,12.3,404,184.7
3.08,7940,12.31,404,184.8
3.08,7940,12.31,404,184.9
3.08,7940,12.32,405,184.9
3.08,7940,12.32,405,185
3.08,7950,12.32,405,185
3.08,7950,12.33,405,185.1
3.08,7950,12.33,405,185.2
3.08,7950,12.34,405,185.2
3.08,7950,12.34,405,185.3
3.09,7950,12.34,405,185.4
3.09,7950,12.35,405,185.4
3.09,7960,12.35,405,185.5
3.09,7960,12.36,405,185.5
3.09,7960,12.36,405,185.6
3.09,7960,12.36,405,185.7
3.09,7960,12.37,405,185.7
3.09,7960,12.37,405,185.8
3.09,7960,12.38,405,185.9
3.1,7960,12.38,405,185.9
3.1,7960,12.38,405,186
3.1,7960,12.39,406,186
3.1,7970,12.4,406,186.1
3.1,7970,12.4,406,186.2
3.1,7970,12.4,406,186.2
3.1,7970,12.41,406,186.3
3.1,7970,12.41,406,186.4
3.1,7970,12.42,406,186.4
3.1,7970,12.42,406,186.5
3.11,7980,12.42,406,186.5
3.11,7980,12.43,406,186.6
3.11,7980,12.43,406,186.7
3.11,7980,12.44,406,186.7
3.11,7980,12.44,406,186.8
3.11,7980,12.44,406,186.9
3.11,7980,12.45,407,186.9
3.11,7980,12.45,407,187
3.11,7980,12.46,407,187
3.12,7980,12.46,407,187.1
3.12,7980,12.46,407,187.2
3.12,7990,12.47,407,187.2
3.12,7990,12.47,407,187.3
3.12,7990,12.48,407,187.4
3.12,7990,12.48,407,187.4
3.12,7990,12.48,407,187.5
3.12,7990,12.49,407,187.5
3.12,7990,12.5,407,187.6
3.12,8000,12.5,407,187.7
3.13,8000,12.5,407,187.7
3.13,8000,12.51,407,187.8
3.13,8000,12.51,407,187.9
3.13,8000,12.52,407,187.9
3.13,8000,12.52,407,188
3.13,8000,12.52,408,188
3.13,8000,12.53,408,188.1
3.13,8000,12.53,408,188.2
3.13,8000,12.54,408,188.2
3.14,8000,12.54,408,188.3
3.14,8010,12.54,408,188.4
3.14,8010,12.55,408,188.4
3.14,8010,12.55,408,188.5
3.14,8010,12.56,408,188.5
3.14,8010,12.56,408,188.6
3.14,8010,12.56,408,188.7
3.14,8010,12.57,408,188.7
3.14,8020,12.57,408,188.8
3.14,8020,12.58,408,188.9
3.14,8020,12.58,408,188.9
3.15,8020,12.58,408,189
3.15,8020,12.59,408,189
3.15,8020,12.6,408,189.1
3.15,8020,12.6,409,189.2
3.15,8020,12.6,409,189.2
3.15,8020,12.61,409,189.3
3.15,8020,12.61,409,189.4
3.15,8020,12.62,409,189.4
3.16,8030,12.62,409,189.5
3.16,8030,12.62,409,189.5
3.16,8030,12.63,409,189.6
3.16,8030,12.63,409,189.7
3.16,8030,12.64,409,189.7
3.16,8030,12.64,409,189.8
3.16,8040,12.64,409,189.9
3.16,8040,12.65,409,189.9
3.16,8040,12.65,409,190
3.16,8040,12.66,409,190
3.16,8040,12.66,409,190.1
3.17,8040,12.66,409,190.2
3.17,8040,12.67,410,190.2
3.17,8040,12.67,410,190.3
3.17,8040,12.68,410,190.4
3.17,8040,12.68,410,190.4
3.17,8040,12.68,410,190.5
3.17,8040,12.69,410,190.5
3.17,8050,12.7,410,190.6
3.18,8050,12.7,410,190.7
3.18,8050,12.7,410,190.7
3.18,8050,12.71,410,190.8
3.18,8050,12.71,410,190.9
3.18,8050,12.72,410,190.9
3.18,8060,12.72,410,191
3.18,8060,12.72,410,191
3.18,8060,12.73,410,191.1
3.18,8060,12.73,410,191.2
3.18,8060,12.74,410,191.2
3.18,8060,12.74,410,191.3
3.19,8060,12.74,410,191.4
3.19,8060,12.75,411,191.4
3.19,8060,12.75,411,191.5
3.19,8060,12.76,411,191.5
3.19,8060,12.76,411,191.6
3.19,8060,12.76,411,191.7
3.19,8070,12.77,411,191.7
3.19,8070,12.77,411,191.8
3.19,8070,12.78,411,191.9
3.2,8070,12.78,411,191.9
3.2,8070,12.78,411,192
3.2,8070,12.79,411,192
3.2,8070,12.8,411,192.1
3.2,8080,12.8,411,192.2
3.2,8080,12.8,411,192.2
3.2,8080,12.81,412,192.3
3.2,8080,12.81,412,192.4
3.2,8080,12.82,412,192.4
3.2,8080,12.82,412,192.5
3.21,8080,12.82,412,192.5
3.21,8080,12.83,412,192.6
3.21,8090,12.83,412,192.7
3.21,8090,12.84,412,192.7
3.21,8090,12.84,412,192.8
3.21,8090,12.84,412,192.9
3.21,8090,12.85,412,192.9
3.21,8090,12.85,412,193
3.21,8090,12.86,412,193
3.22,8090,12.86,412,193.1
3.22,8090,12.86,412,193.2
3.22,8090,12.87,412,193.2
3.22,8100,12.87,412,193.3
3.22,8100,12.88,412,193.4
3.22,8100,12.88,412,193.4
3.22,8100,12.88,412,193.5
3.22,8100,12.89,412,193.5
3.22,8100,12.9,413,193.6
3.22,8100,12.9,413,193.7
3.23,8100,12.9,413,193.7
3.23,8100,12.91,413,193.8
3.23,8100,12.91,413,193.9
3.23,8100,12.92,413,193.9
3.23,8110,12.92,413,194
3.23,8110,12.92,413,194
3.23,8110,12.93,413,194.1
3.23,8110,12.93,413,194.2
3.23,8110,12.94,413,194.2
3.24,8110,12.94,413,194.3
3.24,8110,12.94,413,194.4
3.24,8120,12.95,413,194.4
